19620703     0.00429      0.0113      0.0131      0.0113
19620705    -0.00427      0.0060      0.0069      0.0057
19620706    -0.01429     -0.0107     -0.0064     -0.0113
19620709     0.01522      0.0067      0.0018      0.0068
19620710     0.02427      0.0127      0.0250      0.0115
19620711     0.04355      0.0098      0.0087      0.0093
19620712     0.01235      0.0055      0.0123      0.0052
19620713    -0.00726     -0.0028      0.0007     -0.0034
19620716     0.01661      0.0001      0.0003      0.0000
19620717    -0.03235     -0.0174     -0.0129     -0.0182
19620718    -0.01317     -0.0102     -0.0104     -0.0102
19620719     0.00616      0.0039      0.0033      0.0039
19620720     0.01224      0.0060      0.0034      0.0069
19620723     0.00269     -0.0003      0.0001     -0.0002
19620724    -0.02614     -0.0081     -0.0068     -0.0077
19620725     0.01170      0.0018     -0.0017      0.0018
19620726     0.00544      0.0050      0.0056      0.0055
19620727     0.01725      0.0075      0.0045      0.0076
19620730     0.03060      0.0100      0.0073      0.0110
19620731    -0.00097      0.0070      0.0053      0.0069
19620801    -0.02778     -0.0070     -0.0042     -0.0082
19620802     0.02525      0.0035      0.0022      0.0040
19620803    -0.00194      0.0023      0.0025      0.0024
19620806    -0.01299     -0.0061     -0.0029     -0.0064
19620807    -0.01579     -0.0060     -0.0050     -0.0068
19620808     0.02277      0.0034      0.0011      0.0026
19620809    -0.01375     -0.0008      0.0019     -0.0007
19620810    -0.00199      0.0019      0.0018      0.0014
19620813     0.00798      0.0021      0.0006      0.0014
19620814     0.01914      0.0100      0.0059      0.0108
19620815     0.00130      0.0073      0.0089      0.0070
19620816    -0.00065      0.0004      0.0039     -0.0003
19620817     0.00841      0.0060      0.0057      0.0063
19620820     0.01091      0.0060      0.0069      0.0061
19620821    -0.00254     -0.0035     -0.0021     -0.0042
19620822     0.04137      0.0115      0.0116      0.0112
19620823     0.00367     -0.0012      0.0015     -0.0013
19620824    -0.00365     -0.0013      0.0026     -0.0020
19620827    -0.00244     -0.0005      0.0003     -0.0005
19620828    -0.03554     -0.0110     -0.0099     -0.0128
19620829    -0.00635     -0.0018     -0.0015     -0.0022
19620830    -0.00831      0.0001      0.0023      0.0003
19620831     0.02192      0.0082      0.0081      0.0075
19620904    -0.02208     -0.0094     -0.0077     -0.0095
19620905    -0.01161     -0.0068     -0.0083     -0.0075
19620906     0.01305      0.0039      0.0025      0.0041
19620907    -0.01482      0.0001      0.0006      0.0003
19620910     0.00523      0.0006     -0.0032      0.0012
19620911    -0.00586      0.0025      0.0012      0.0024
19620912     0.00425      0.0043      0.0028      0.0043
19620913    -0.00033     -0.0023     -0.0014     -0.0024
19620914     0.01239      0.0030      0.0028      0.0032
19620917     0.01739      0.0026      0.0005      0.0032
19620918    -0.00759     -0.0006     -0.0018     -0.0008
19620919    -0.01467     -0.0020     -0.0026     -0.0014
19620920    -0.00906     -0.0067     -0.0063     -0.0070
19620921    -0.01568     -0.0143     -0.0145     -0.0145
19620924    -0.03915     -0.0183     -0.0180     -0.0184
19620925     0.02003      0.0057      0.0034      0.0058
19620926    -0.03724     -0.0139     -0.0114     -0.0142
19620927    -0.01547     -0.0063     -0.0051     -0.0068
19620928     0.01000      0.0068      0.0041      0.0090
